attending_count,id,interested_count,maybe_count,noreply_count,start_time,contacts
71,772321756237604,117,117,644,2016-04-18T19:00:00+0200,949
19,184317805285250,107,107,66,2016-04-18T18:30:00+0200,299
49,945141968940139,69,69,649,2016-04-16T18:00:00-0500,836
48,1861532177406650,109,109,1407,2016-04-15T18:00:00+0200,1673
10,235537000128698,45,45,375,2016-04-14T19:00:00+0200,475
39,1714097155536585,87,87,56,2016-04-14T19:00:00+0200,269
8,1037320512980586,7,7,30,2016-04-13T19:30:00+0200,52
25,1792266044340164,29,29,30,2016-04-13T18:30:00+0100,113
17,1717943118420558,44,44,146,2016-04-13T19:00:00+0200,251
255,442831255913605,487,487,1175,2016-04-13T07:30:00+0200,2404
23,547011292127699,80,80,88,2016-04-12T18:30:00+0200,271
9,1700899013511162,4,4,58,2016-04-11T18:00:00+0000,75
63,1001879929900831,187,187,35,2016-04-11T19:00:00+0200,472
16,1686884298245086,67,67,69,2016-04-11T18:30:00+0200,219
22,968859556531971,43,43,324,2016-04-11T18:00:00+0200,432
42,1065075533536389,85,85,249,2016-04-10T19:00:00+0200,461
2,1179925408718236,4,4,4,2016-04-09T10:30:00+0200,14
26,1672770149656687,24,24,158,2016-04-09T13:00:00+0700,232
6,948826928570763,13,13,55,2016-04-08T18:00:00+0000,87
13,205362289840596,6,6,51,2016-04-08T19:00:00+0200,76
51,650058678468015,22,22,2,2016-04-08T14:00:00+0200,97
23,1127496640629165,60,60,422,2016-04-06T19:00:00+0100,565
34,553751144799643,40,40,223,2016-04-06T19:30:00+0200,337
21,197846007257086,62,62,64,2016-04-06T18:45:00+0200,209
5,1716367468636665,11,11,84,2016-04-06T18:30:00+0200,111
28,201207430236195,85,85,421,2016-04-06T18:30:00+0200,619
19,1611820905734145,39,39,424,2016-04-06T18:30:00+0300,521
40,201513800218932,106,106,289,2016-04-06T14:00:00+0200,541
13,1005613822854830,16,16,69,2016-04-06T18:00:00+1000,114
112,642829205857774,315,315,245,2016-04-05T19:00:00+0200,987
17,600979213384632,58,58,158,2016-04-04T18:30:00+0200,291
26,931840283599580,42,42,8,2016-04-02T11:00:00-0600,118
